numOfTest,numOfNode,averageTime(Matrix),averageTime(List)
100,0,0,0
100,10,9,10
100,20,20,46
100,30,0,80
100,40,29,40
100,50,49,70
100,60,50,160
100,70,90,79
100,80,90,140
100,90,139,120
100,100,190,119
100,110,180,139
100,120,179,179
100,130,249,200
100,140,319,190
100,150,309,290
100,160,359,230
100,170,383,442
100,180,466,273
100,190,597,390
100,200,633,277
100,210,569,320
100,220,620,339
100,230,760,319
100,240,770,340
100,250,840,370
100,260,914,434
100,270,969,339
100,280,1029,330
100,290,1110,450
100,300,1065,529
100,310,1120,350
100,320,1280,469
100,330,1501,463
100,340,1540,511
100,350,1760,470
100,360,1839,629
100,370,2019,719
100,380,1883,616
100,390,2000,609
100,400,2060,589
100,410,2155,673
100,420,2319,639
100,430,2221,639
100,440,2249,620
100,450,2773,1260
100,460,3280,690
100,470,2702,678
100,480,3451,849
100,490,3195,855
100,500,3160,1008
100,510,3427,870
100,520,4319,1120
100,530,3561,849
100,540,3240,739
100,550,3785,800
100,560,4060,830
100,570,3802,775
100,580,4410,950
100,590,4376,996
100,600,4426,950
100,610,4421,969
100,620,4955,1100
100,630,5077,1040
100,640,5027,1030
100,650,4960,1050
100,660,5659,1027
100,670,5508,1049
100,680,6361,1180
100,690,5511,1001
100,700,6871,1178
100,710,6174,1065
100,720,6396,1089
100,730,6912,1600
100,740,6667,1169
100,750,6181,1009
100,760,4200,720
100,770,7530,1430
100,780,6887,1118
100,790,7723,1229
100,800,7641,1266
100,810,7965,1308
100,820,8781,1390
100,830,8821,1422
100,840,9002,1418
100,850,9360,1471
100,860,10094,1481
100,870,9352,1280
100,880,9577,1400
100,890,10153,1578
100,900,9749,1422
100,910,10591,1480
100,920,10526,1450
100,930,10470,1428
100,940,11223,1760
100,950,11072,1539
100,960,11269,1590
100,970,12288,1720
100,980,12214,1597
100,990,11501,1580
100,1000,12359,1636
